Casual,Day,Weather
5,3,3
9,4,1
6,2,2
25,1,1
83,5,1
53,3,1
31,5,1
15,5,1
2,5,2
35,2,1
5,0,3
5,4,2
97,4,1
33,3,1
18,3,1
163,0,1
9,3,2
75,0,1
5,5,1
4,1,2
2,5,2
6,1,3
17,2,1
5,2,1
5,3,1
0,1,2
34,4,1
41,5,1
0,3,1
0,0,1
0,2,2
2,1,1
17,4,2
1,2,1
61,5,2
8,5,1
0,2,1
9,3,1
20,3,3
4,5,1
142,0,1
83,0,1
0,2,2
2,6,1
13,2,2
57,1,1
40,2,1
9,5,3
37,0,3
55,1,2
99,6,1
0,4,1
3,4,1
47,1,1
0,6,3
70,1,1
77,0,1
40,3,2
22,2,1
37,5,1
0,3,2
0,4,1
10,6,1
120,0,1
187,6,1
26,0,1
0,2,1
15,6,1
15,6,2
15,4,2
29,2,2
0,4,1
52,5,1
73,2,2
144,5,1
13,2,2
25,4,2
59,3,1
60,1,1
13,4,3
6,0,1
38,0,1
237,5,1
286,0,1
2,2,1
42,4,1
44,2,1
56,2,1
27,4,2
10,0,1
57,2,1
42,5,1
5,1,2
32,2,1
115,6,2
5,4,1
18,1,2
98,6,2
173,6,1
65,4,1
72,2,1
1,1,1
20,5,1
90,6,3
11,3,1
77,1,1
91,0,1
4,1,1
23,3,2
11,0,1
4,1,1
135,6,1
0,0,3
16,5,2
125,4,1
64,4,1
20,3,2
2,4,1
22,3,1
25,3,1
4,1,1
187,0,2
0,3,3
56,3,2
1,2,3
10,4,1
66,1,1
7,1,1
20,1,1
6,0,1
36,0,2
25,2,1
257,6,2
4,3,2
11,4,1
1,4,1
5,5,3
130,6,2
0,4,3
83,0,3
6,2,1
12,0,1
0,2,2
47,1,1
26,4,2
102,6,1
14,5,1
1,2,1
8,0,1
27,0,1
8,0,2
146,1,1
112,5,1
237,0,1
17,6,2
13,1,3
37,4,2
7,2,3
50,5,1
4,3,1
2,3,1
30,6,1
134,1,1
0,3,1
175,6,3
3,0,1
11,2,2
4,3,3
99,6,1
148,6,2
16,1,1
0,1,1
2,1,2
90,1,1
9,4,2
6,3,1
0,4,1
60,3,2
25,4,2
7,3,3
19,4,2
3,2,2
1,6,1
27,6,1
0,3,1
127,0,1
6,4,2
0,3,2
0,4,1
40,1,1
56,5,2
1,2,3
1,1,2
21,1,1
13,4,1
2,5,1
10,1,2
94,5,1
0,6,2
25,1,2
21,0,2
134,6,1
69,1,2
5,5,1
63,0,1
0,2,3
10,5,1
48,1,1
199,0,1
68,5,2
8,4,1
100,4,1
34,5,1
59,2,1
88,5,2
47,1,1
23,0,1
51,5,1
3,2,3
30,3,2
101,1,1
44,4,3
86,6,1
16,4,2
69,2,1
6,1,1
2,4,1
8,3,2
9,4,2
39,0,1
59,5,1
18,6,1
92,6,1
12,3,1
19,1,1
156,6,2
6,1,2
9,6,2
0,0,1
47,6,1
1,1,1
3,2,2
2,3,2
34,4,1
0,6,1
44,1,2
2,1,1
201,6,1
1,6,3
18,4,2
9,1,1
5,4,2
168,6,1
47,2,1
10,1,3
1,3,3
1,0,2
7,6,1
27,3,1
56,6,1
5,6,2
4,1,3
30,5,1
0,1,1
6,1,1
1,4,2
87,6,1
0,5,1
77,3,1
0,5,3
20,4,2
0,3,1
33,0,2
47,4,1
8,5,1
11,2,3
49,3,1
94,1,1
25,1,1
2,3,1
21,4,2
2,4,2
69,2,1
1,4,2
108,1,2
133,0,1
0,3,1
0,5,2
2,2,1
35,5,1
23,2,2
2,4,2
